 s,3432, t,0.00181, Cor,-3452132737, PosCor,0, NegCor,3452132737, CorPosLog,0.000000, CorNegLog,31.684839, D,0.308396,
 s,3433, t,0.00183, Cor,-9610470163, PosCor,0, NegCor,9610470163, CorPosLog,0.000000, CorNegLog,33.161961, D,0.311942,
 s,3434, t,0.00185, Cor,-14078610894, PosCor,0, NegCor,14078610894, CorPosLog,0.000000, CorNegLog,33.712784, D,0.315487,
 s,3435, t,0.00187, Cor,-13014795188, PosCor,0, NegCor,13014795188, CorPosLog,0.000000, CorNegLog,33.599434, D,0.319032,
 s,3436, t,0.00190, Cor,-4433037556, PosCor,0, NegCor,4433037556, CorPosLog,0.000000, CorNegLog,32.045647, D,0.322576,
 s,3437, t,0.00192, Cor,8857900314, PosCor,8857900314, NegCor,0, CorPosLog,33.044315, CorNegLog,0.000000, D,0.326120,
 s,3438, t,0.00194, Cor,19616614407, PosCor,19616614407, NegCor,0, CorPosLog,34.191357, CorNegLog,0.000000, D,0.329666,
 s,3439, t,0.00196, Cor,20629112408, PosCor,20629112408, NegCor,0, CorPosLog,34.263962, CorNegLog,0.000000, D,0.333211,
 s,3440, t,0.00198, Cor,10011331030, PosCor,10011331030, NegCor,0, CorPosLog,33.220913, CorNegLog,0.000000, D,0.336755,
 s,3441, t,0.00200, Cor,-6752057872, PosCor,0, NegCor,6752057872, CorPosLog,0.000000, CorNegLog,32.652679, D,0.340300,
 s,3442, t,0.00202, Cor,-20195716787, PosCor,0, NegCor,20195716787, CorPosLog,0.000000, CorNegLog,34.233330, D,0.343844,
 s,3443, t,0.00204, Cor,-22681204293, PosCor,0, NegCor,22681204293, CorPosLog,0.000000, CorNegLog,34.400780, D,0.347390,
 s,3444, t,0.00206, Cor,-13087480352, PosCor,0, NegCor,13087480352, CorPosLog,0.000000, CorNegLog,33.607468, D,0.350935,
 s,3445, t,0.00208, Cor,2666199375, PosCor,2666199375, NegCor,0, CorPosLog,31.312138, CorNegLog,0.000000, D,0.354479,
 s,3446, t,0.00210, Cor,15530408094, PosCor,15530408094, NegCor,0, CorPosLog,33.854378, CorNegLog,0.000000, D,0.358024,
 s,3447, t,0.00212, Cor,18908791087, PosCor,18908791087, NegCor,0, CorPosLog,34.138340, CorNegLog,0.000000, D,0.361568,
 s,3448, t,0.00215, Cor,12247276976, PosCor,12247276976, NegCor,0, CorPosLog,33.511742, CorNegLog,0.000000, D,0.365114,
 s,3449, t,0.00217, Cor,623902386, PosCor,623902386, NegCor,0, CorPosLog,29.216745, CorNegLog,0.000000, D,0.368659,
 s,3450, t,0.00219, Cor,-8970929504, PosCor,0, NegCor,8970929504, CorPosLog,0.000000, CorNegLog,33.062611, D,0.372203,
